ime;pivovarna;vrsta;velikost;stopnja_alkohola;drzava;cena;opis
Partizan Stout;Partizan Brewing;Stout Beer;0.33;7.4;England;3.2;Inspired by new wave American beers and frustrated by their lack of availability in the UK (perhaps try Master of Malt next time?
Red Willow Cherry Heartless;Red Willow;Fruit Beer;0.33;5.0;England;;Made with over 50kg of cherries per batch, this is a decadent stout for all of those who like to combine their beer with a little chocolate and a relatively large quantity of fruit...
Red Willow Shameless;Red Willow;IPA (India Pale Ale) Beer;0.33;5.9;England;2.99;Yes, it's called Shameless. Yes, it's from the north west of England. However, this has as much to do with the beer Frank drinks as... well, two things in the same family that are distantly related.
Red Willow Sleepless;Red Willow;Rye Beer;0.33;5.4;England;2.5;The brewing scene in the North West has been growing at a seemingly exponential rate over the last few years, so much so that Red Willow, formed only in 2010 in Macclesfield, seem like old
Red Willow Smokeless;Red Willow;Porter Beer;0.33;5.7;England;2.2;Chipotles and beer - what could possibly go wrong with combining the two? Absolutely nothing, I hear you say? Quite right!
Red Willow Weightless;Red Willow;IPA (India Pale Ale) Beer;0.33;4.2;England;2.29;An easy drinking, session IPA from the folks at Red Willow in Cheshire. Lots of lovely fruit and moderate alcohol make this a cracking little beer!
Red Willow Wreckless;Red Willow;Pale Ale Beer;0.33;4.8;England;2.2;A multi award winning (including SIBA National Champion in 2012) Pale Ale from the folks at Macclesfield's Red Willow Brewery.
Marble Brewery Black Sunshine;Marble Brewery;IPA (India Pale Ale) Beer;0.33;7.3;England;3.72;When not serving thirsty Post Office workers in the bar of the Marble Arch pub in Manchester, Marble Brewery make some very tasty beers!
To Øl First Frontier Can;To øl;IPA (India Pale Ale) Beer;0.33;7.1;Denmark;3.63;To Øl's First Frontier, a well-hopped American-style IPA, now available in cans! This is made using a trio of classic IPA hops - Warrior, Simcoe and Centennial.
RTW Royal Best Bitter;Royal Tunbridge Wells Brewing Company;Bitter Beer;0.5;4.1;England;;From Royal Tunbridge Wells, our beloved home town, Royal is a best bitter beer based on a recipe from the 1980s (the days of yore), this is made with Pale and Crystal malts and Challenger and Goldings
RTW Dipper Bitter;Royal Tunbridge Wells Brewing Company;Bitter Beer;0.5;3.7;England;;Dipper is a great bitter brewed in none other than our much loved hometown of Royal Tunbridge Wells. It is named for the lady who serves water from the Chalybeate Spring Water on the Pantiles.
RTW Sovereign Blonde;Royal Tunbridge Wells Brewing Company;Blonde Beer;0.5;3.8;England;;Brewed in glorious Tunbridge Wells (where our headquarters are situated), Sovereign is a light blonde beer made with Kentish Fuggles hops, East Kent Golding and Sovereign hops.
Holly Daze Dark Amber Ale;Holly Daze;Dark Ale Beer;0.5;5.0;Scotland;;A dark amber winter warmer of a beer.
RTW Beau Porter;Royal Tunbridge Wells Brewing Company;Porter Beer;0.5;4.8;England;;From our very own hometown of Royal Tunbridge Wells! Beau is a fine Porter with notes of coffee, cocoa, liquorice and malt. Brilliant stuff. If you buy this, you're a Beau Selector.
Einstök Icelandic Wee Heavy;Einstök Ölgerð Beer Company;Barley Wine Beer;0.33;8.0;Iceland;2.88;A taste of Scottish tradition via Iceland. Scotch ale from Einstök, brewed with smoked, locally farmed barley along with Icelandic angelica.
Chorlton Brewing Co. Märzen Weiße 2017;Chorlton Brewing Co;Wheat / Wit / White Beer;0.66;5.6;England;7.7;A German-style wheat beer from the Chorlton Brewing Co., which is unfiltered, unpasteurised and unfined. Always an exciting moment when we get to bust out the ß letter.
Chorlton Brewing Co. Summer/Blanc Double Sour;Chorlton Brewing Co;Sour / Lambic Beer;0.33;8.1;England;3.12;A refreshing sour beer from the inventive Chorlton Brewing Co. folks. Ought to make for an interesting summer evening treat.
Alphabet Brewing A to the K;Alphabet Brewing Co;Pale Ale Beer;0.33;5.6;England;2.12;An unusual Oatmeal Pale ale from the team at Manchester's Alphabet Brewing, one of several breweries taking the city by storm.
Bellfield Bohemian Pilsner;Bellfield Brewery;Lager / Pilsner Beer;0.33;4.5;Scotland;2.52;The Bellfield Brewery in Scotland is dedicated to creating gluten-free beers to be enjoyed by Coeliacs and people removing gluten from their diet - a noble endeavour!
Bellfield Lawless Village IPA;Bellfield Brewery;IPA (India Pale Ale) Beer;0.33;4.5;Scotland;2.52;A gluten-free IPA from the Bellfield Brewery - whom are dedicated to crafting delicious gluten-free beers to everyone to enjoy.
First Chop HOP;First Chop Brewing;Pale Ale Beer;0.33;4.1;England;1.92;An ultra pale ale from Manchester's own First Chop, made with Bobek, Dr. Rudi, Cascade, Chinook and Zeus hops. They always went and dry-hopped it with Citra hops for added oomph.
First Chop PIP;First Chop Brewing;Saison Beer;0.33;6.3;England;2.4;A zesty saison from the First Chop Brewing chaps in Manchester, made with a combination of Motueka and Zeus hops, alongside cold pressed grapefruit oil.  Plus, they're gluten free! Nice!
First Chop POD;First Chop Brewing;Stout Beer;0.33;4.2;England;1.95;First Chop's POD oatmeal stout gets an extra vanilla-y kick by being brewed with vanilla pods! Perfect stuff for enjoying on a cold autumn evening.  Plus, they're gluten free! Nice!
First Chop POP;First Chop Brewing;IPA (India Pale Ale) Beer;0.33;5.4;England;2.28;A juicy, fruity IPA from First Chop Brewing in Manchester, produced using Crystal and Waiti hops.
First Chop SUP;First Chop Brewing;IPA (India Pale Ale) Beer;0.33;3.9;England;1.96;A sessionable IPA from the Manchester-based First Chop crew, made with Dr. Rudi and Rakau hops, and dry-hopped with Mosaic.
Dark Star Crème Brûlée;Dark Star;Stout Beer;0.33;5.9;England;2.38;Never before have we seen a beer so well suited to enjoying as part of a dessert as Dark Star's Crème Brûlée, brewed with unfermentable lactose sugar, vanilla beans and well-roasted malts.
Brasserie de Silly Abbaye de Forest;Brasserie de Silly;Blonde Beer;0.33;6.5;Belgium;2.62;A Belgian blonde from Brasserie de Silly - sweet with dried fruit and vanilla pod, followed by a kick of hoppy bitterness.
Brasserie de Silly Pils Bio;Brasserie de Silly;Lager / Pilsner Beer;0.25;5.0;Belgium;1.65;A light, refreshing Belgian Pils from Brasserie de Silly, made using organic malts and organic hops! Enjoyably crisp and creamy.
Brasserie de Silly Blanche de Silly;Brasserie de Silly;Wheat / Wit / White Beer;0.25;5.0;Belgium;2.2;Brasserie de Silly's Blanche de Silly is perfect for enjoying on a scorching evening in the middle of summer. They add orange peel and coriander to this one for added tastiness.
De Villée;Brasserie de Silly;Wheat / Wit / White Beer;0.33;5.9;Belgium;2.7;De Villée is a combination of wheat beer from Brasserie de Silly along with a splash of lemon eau de vie from Distillerie de Biercée.
Brasserie de Silly Green Killer IPA;Brasserie de Silly;IPA (India Pale Ale) Beer;0.33;6.5;Belgium;2.62;Generously hopped IPA from Belgian producers, Brasserie de Silly, whom have been in the business of brewing brill beers since 1850.
Brasserie de Silly Pink Killer;Brasserie de Silly;Fruit Beer;0.25;5.0;Belgium;2.05;Brasserie de Silly's Pink Killer is a Belgian wheat-based brew made with a lip-smacking helping of grapefruit juice thrown into the mix.
Burning Sky Imperial Stout;Burning Sky;Stout Beer;0.75;8.5;England;13.95;Behold the big, burly Burning Sky Imperial Stout! Hugely rich and thick, with a massive kick of dark chocolate at its core.
The Kernel Pale Ale Centennial;The Kernel;Pale Ale Beer;0.33;5.0;England;2.32;Pale ale from The Kernel Brewery in London, celebrating the cracking Centennial hop.
The Kernel Pale Ale Citra (with Oats);The Kernel;Pale Ale Beer;0.5;5.1;England;3.44;Fantastic pale ale from The Kernel in London, brewed with the much-adored Citra hop, along with oats for added creaminess. Hall is nowhere to be seen, however. Shame.
Moor Beer Company PMA;Moor Beer Company;Pale Ale Beer;0.33;5.3;England;2.57;A top pale ale from Moor Beer Company, made with oodles of fruity hops. Not only is it delicious, a portion of Moor Beer Company's profits from PMA is donated to the charity Hardcore Hits Cancer!
Pressure Drop Gesundheit;Pressure Drop Brewing;IPA (India Pale Ale) Beer;0.33;6.5;England;2.48;A German-style wheat IPA from Pressure Drop, brewed with a pair of New Zealand hops - Nelson Sauvin and Motueka. Gawd bless 'em!
Thornbridge Halcyon;Thornbridge Brewery;IPA (India Pale Ale) Beer;0.33;7.4;England;3.25;Intense imperial IPA incoming! This is the Thornbridge Brewery's Halcyon, boasting a hearty ABV and packing a good wallop of hops.
Thornbridge Valravn;Thornbridge Brewery;IPA (India Pale Ale) Beer;0.33;8.8;England;3.39;A full-bodied black IPA from the Derbyshire-based Thornbridge Brewery, combining handsome hops with dark malts.
Thornbridge Wild Raven;Thornbridge Brewery;IPA (India Pale Ale) Beer;0.33;6.6;England;3.14;Hugely impressive black IPA from the Thornbridge Brewery, boasting well-roasted malts and a core of bitter hops.
Time & Tide Calista IPA;Time & Tide Brewing;IPA (India Pale Ale) Beer;0.33;6.1;England;2.89;An English IPA from Eastry-based Time & Tide Brewing, featuring the smashing flavours of Vic Secret, Ella and Equinox hops.
Time & Tide Double Stout;Time & Tide Brewing;Stout Beer;0.33;9.0;England;3.52;A burly double stout from Time & Tide Brewing. The two-headed demon cat on the label is somewhat unsettling, but otherwise this is a proper treat.
Weird Beard K*ntish Town Beard;Weird Beard Brew Company;Wheat / Wit / White Beer;0.33;5.5;England;3.25;Weird Beard's K*ntish Town Beard is something of a mixture of style - a hearty helping of wheat in the recipe might make you think it leans towards the German Weißbier, but the London-based brewers
Weird Beard Sadako;Weird Beard Brew Company;Stout Beer;0.66;9.5;England;9.95;A hefty imperial stout from the Weird Beard Brew Co., made using a whole host of malts, along with honey, molasses and coffee beans. Very impressive indeed.
Weird Beard Something Something Barrel Aged;Weird Beard Brew Company;Cask-Aged Beer;0.33;9.2;England;5.5;A tasty cask-aged IPA brewed with dark malts from London's Weird Beard Brew Co. - [insert subtle reference to well-known space opera franchise here].
Weird Beard Something Something Darkside;Weird Beard Brew Company;IPA (India Pale Ale) Beer;0.33;9.2;England;4.95;Blending dark malts and tasty hops, London's Weird Beard Brew Co. have created a Black IPA that you wouldn't be surprised to see in Chalmun's Cantina...
Mornington Peninsula Lager;Mornington Peninsula Brewery;Lager / Pilsner Beer;0.33;4.7;Australia;2.69;From Australias' Mornington Peninsula Brewery comes a German-style lager made with the Tettnang hop. As ever with tasty lagers, chill this tinny thoroughly before cracking it open.
Mornington Peninsula Pale Ale;Mornington Peninsula Brewery;Pale Ale Beer;0.33;4.7;Australia;2.69;Australian Pale Ale from Mornington Peninsula Brewery, boasting a full-bodied flavour profile of hops and crisp malt.
Pikes Genuine Stout;Pikes Beer Company;Stout Beer;0.33;5.2;Australia;3.21;A rich stout from Australia-based brewers, Pikes. Fun fact about the pike species of fish: in Finland, to generally be considered a Master Fisherman, you have to catch a pike weighing 10kg.
Pikes Pilsener Lager;Pikes Beer Company;Lager / Pilsner Beer;0.33;4.5;Australia;2.9;Aussie Pilsener Lager from Pikes, based in Clare Valley. They use 100% malted Australian barley to create this refreshing brew.
Prancing Pony Magic Carpet Midnight Ride;Prancing Pony;Stout Beer;0.5;9.0;Australia;7.08;A rather weighty but still elegant Imperial Stout from Australia's Prancing Pony Brewery. An incredible indulgence.
Prancing Pony Pagan's Empire;Prancing Pony;Pale Ale Beer;0.33;6.6;Australia;3.13;An Australian IPA from the Prancing Pony, brewed with helpings of spelt and rye, alongside a trio of American hops.
Alpine Duet;Alpine;IPA (India Pale Ale) Beer;0.36;7.0;United States;3.24;Amarillo and Simcoe hops sing in harmony within Alpine Beer Company's Duet IPA. Get it. Duet. Harmony. You get it.
Alpine Hoppy Birthday;Alpine;Pale Ale Beer;0.36;5.3;United States;3.02;Do you know a beer fan who just happens to have a birthday? What a coincidence!
Benchmark Brewing IPA;Benchmark Brewing Co;IPA (India Pale Ale) Beer;0.47;5.1;United States;4.8;Flavoursome IPA from Benchmark Brewing Co. in San Diego, California. Serve chilled and enjoy the hoppy deliciousness.
Black Market Aftermath;Black Market Brewing Company;IPA (India Pale Ale) Beer;0.36;5.8;United States;3.5;A sessionable IPA from Black Market Brewing, made with a combination of five tasty hops and presented at an approachable ABV.
Cismontane Coulter IPA;Cismontane Brewing Company;IPA (India Pale Ale) Beer;0.36;7.2;United States;2.88;An IPA from the Cismontane Brewing Co., named for the Coulter pine tree common in Southern California. The brewers sneaked a morsel of rye into this beer, helping round out the flavour profile.
Drake's Brewing Co. Black Robusto Porter;Drake's Brewing Company;Porter Beer;0.65;6.3;United States;9.0;A rich Porter from Drake's Brewing Co. - thick and chocolatey, with a hint of spicy hops to even out the sweetness. Well-suited to enjoying on a chilly evening.
Drake's Brewing Co. Denogginizer Double IPA;Drake's Brewing Company;IPA (India Pale Ale) Beer;0.65;9.8;United States;10.4;A Double IPA from Drake's Brewing Co. in California.
Drake's Brewing Co. Drakonic;Drake's Brewing Company;Stout Beer;0.65;8.8;United States;10.92;A rich, dark Imperial Stout from Drake's Brewing Co. out in California. Oodles of coffee and chocolate notes to tuck into here.
Drake's Brewing Co. Electric Owl;Drake's Brewing Company;Coffee / Chocolate / Honey Beer;0.65;8.0;United States;12.3;Owls are among the best variety of birds (just behind puffins and penguins), so why wouldn't you name your tasty brown ale brewed with coffee after them?
Drake's Brewing Co. IPA;Drake's Brewing Company;IPA (India Pale Ale) Beer;0.36;7.0;United States;3.95;A generously well-hopped IPA from Drake's Brewing Co. in San Leandro, California (no relation to the rapper).
Green Flash Sea To Sea Lager;Green Flash;Lager / Pilsner Beer;0.36;4.0;United States;3.16;Unfiltered Zwickel Lager from California's Green Flash Brewing Co, made with Hallertau Mittelfrüh and Czech Saaz hops. Poseidon stands watch on the label, trident in hand, protecting his sea.
Green Flash Tangerine Soul Style IPA;Green Flash;IPA (India Pale Ale) Beer;0.36;6.5;United States;3.29;A smashing summer sipper from San Diego. Green Flash's Tangerine Soul Style IPA is brewed with Citra and Cascade hops, along with a a helping of tangerine zest!
Mad River Steelhead Extra Pale Ale;Mad River Brewing;Pale Ale Beer;0.36;5.6;United States;3.6;What's that coming out from behind the California Redwoods? It's Mad River Brewing's Steelhead Extra Pale Ale, jam packed with lip-smacking hops.
Old Worthy Mr Lyan Lager Passionfruit Pale Ale;Old Worthy;Pale Ale Beer;0.33;4.7;Scotland;2.95;Mr Lyan Lager is made by the wonderful folks from Old Worthy in Scotland - it's a passionfruit pale ale, boasting lip-smacking fruity sweetness.
Cigar City Raspberry Halo Imperial Stout;Cigar City Brewing;Stout Beer;0.65;10.7;United States;18.0;Florida's Cigar City Brewing have gone ahead and combined the rich deliciousness of Imperial Stout with light deliciousness of raspberries in their very own Raspberry Halo.
BrewDog Vs. Beavertown Coffee & Cigarettes;BrewDog;Stout Beer;0.33;12.1;Scotland;8.42;It seemed somewhat inevitable for BrewDog and Beavertown to collaborate, considering that they're two of the UK's most well-loved craft brewers.
Anchor Go West! IPA;Anchor Brewing Co.;IPA (India Pale Ale) Beer;0.36;6.7;United States;2.79;A smashing Californian IPA from the ever-dependable Anchor Breweing Co., with a name inspired by the Californian Gold Rush of the mid-1800s.
Anchor Liberty Ale;Anchor Brewing Co.;Pale Ale Beer;0.36;5.9;United States;2.6;A tasty pale ale from San Francisco's legendary Anchor Brewing Co., dry-hopped with Cascade hops.
Arrogant Bastard Ale;Stone Brewing Co;Dark Ale Beer;0.5;7.2;United States;4.5;A rather excellent ale that knows how good it is. Look at that smug can. So very full of itself.
Stone Cali-Belgique IPA;Stone Brewing Co;IPA (India Pale Ale) Beer;0.33;6.9;United States;2.6;From the Stone Brewing Co. in California comes an American-style Pale Ale with a Belgian twist - they've brewed it with a specially selected strain of Belgian yeast.
Stone Go To IPA;Stone Brewing Co;IPA (India Pale Ale) Beer;0.33;4.7;United States;2.8;Stone's Go To IPA is filled to the brim with hops (10 different varieties - Ahtanum, Amarillo, Cascade, Chinook, Citra, Crystal, Magnum, Mosaic, Sterling and Hopsteiner 06300), but presented at a
Stone IPA;Stone Brewing Co;IPA (India Pale Ale) Beer;0.33;6.9;United States;3.2;A full-bodied IPA from the fantastic Stone Brewing Co., featuring a whole truckload of hoppy deliciousness.
Arrogant Bastard Little Bastard Ale;Stone Brewing Co;Dark Ale Beer;0.33;4.7;United States;2.5;A more approachable (but still rather full-on) American ale from the Arrogant Bastard range. Nearly as arrogant as ever.
Stone Ruination Double IPA;Stone Brewing Co;IPA (India Pale Ale) Beer;0.33;8.5;United States;3.8;A liquid poem to the glory of the hop boasts the label of Stone Brewing Co.'s Ruination Double IPA - so it shouldn't be too difficult to guess what to expect this Californian brew to taste like...
Two Roads Honeyspot Road IPA;Two Roads Brewing Company;IPA (India Pale Ale) Beer;0.36;6.0;United States;2.59;The Honeyspot Road IPA from Two Roads Brewing Co.
Two Roads Lil' Heaven;Two Roads Brewing Company;IPA (India Pale Ale) Beer;0.36;4.8;United States;2.3;We're not sure if Two Roads Brewing Co. took inspiration from the trope of rappers naming themselves Lil' Something for their Lil' Heaven, but we like to think so.
Two Roads Ol' Factory Pils;Two Roads Brewing Company;Lager / Pilsner Beer;0.36;5.0;United States;2.3;A refreshing Pilsner from the Two Roads Brewery in Connecticut, USA.
Two Roads Worker's Comp Saison;Two Roads Brewing Company;Saison Beer;0.36;4.8;United States;2.3;A traditionally-styled Saison from Two Roads Brewing Co., showing off lots of fruit and a hearty kick of spice.
Victory Headwaters Pale Ale;Victory Brewing Company;APA (American Pale Ale) Beer;0.36;5.2;United States;2.29;Headwaters Pale Ale from Pennsylvania's Victory Brewing Co., filled with Simcoe and Citra hops as well as water from the East Branch of Brandywine Creek. An aptly named water source for this beer...
Victory Prima Pils;Victory Brewing Company;Lager / Pilsner Beer;0.36;5.3;United States;2.29;A marvellous Pils from Victory Brewing in Pennsylvania, boasting a sizeable helping of hoppy bitterness alongside the refreshing, vanilla-y creaminess.
Victory Vital IPA;Victory Brewing Company;IPA (India Pale Ale) Beer;0.36;6.5;United States;2.49;Generously-hopped American pale ale, brewing using Pilsner malts and German Kölsch yeast, resulting in a well-balanced flavour profile of bitterness, creaminess, spiciness and general deliciousness.
Victory Hop Devil IPA;Victory Brewing Company;IPA (India Pale Ale) Beer;0.36;6.7;United States;2.49;Victory Brewing Co.'s Hop Devil combines a trio of 'C' hops (Cascade, Centennial and Chinook), resulting in a punchy IPA with oodles of bitterness behind it.
Berliner Pilsner;Berliner Pilsner;Lager / Pilsner Beer;0.33;5.0;Germany;1.79;A long-running German Pilsner from Berlin, featuring a bear on the label as a reference to berlin's coat of arms. Refreshing stuff.
Brooklyn Brewery Brown Ale;Brooklyn Brewery;Dark Ale Beer;0.36;5.6;United States;2.39;New York's Brooklyn Brewery took inspiration from the beers of England to create their very own Brown Ale - combining the intensity of northern brown ales and rounded sweetness of southern brown ales.
Brooklyn Brewery 1/2 Ale;Brooklyn Brewery;Saison Beer;0.36;3.4;United States;2.1;A splendid Saison from New York's Brooklyn Brewery - perfect for a sunny afternoon, or for pairing with spicy meals.
Brooklyn Brewery Scorcher IPA;Brooklyn Brewery;IPA (India Pale Ale) Beer;0.36;4.5;United States;2.09;A sessionable IPA from the ever-impressive Brooklyn Brewery. Bursting with tasty hops, but presented at an approachable ABV. Good on a scorching hot day, and for pairing with scorching hot foods.
Hitachino Nest Red Rice Ale;Kiuchi Brewery;Pale Ale Beer;0.33;7.0;Japan;3.46;Another tasty beer from Kiuchi Brewery's Hitachino Nest range - this time it's an ale which has been brewed with red rice! It's a hoot.\r\n\r\nGet it? Hoot?
Hitachino Nest White Ale Can;Kiuchi Brewery;Wheat / Wit / White Beer;0.35;5.5;Japan;2.35;What could be better than a Belgian style Japanese witbier? That's right - Belgian style Japanese witbier in a can!
Spencer Trappist Ale;Spencer;Abbey / Trappist Beer;0.33;6.5;United States;4.19;The flagship Trappist ale from the Massachusetts-based Spencer Brewery - America's first Trappist brewery!
Anchor Brotherhood Steam Beer;Anchor Brewing Co.;Lager / Pilsner Beer;0.36;5.6;United States;2.5;A dry-hopped California Common beer from the experts at San Francisco's Anchor Brewing Co., made in collaboration with Chris Robinson Brotherhood, a blue rock band from California.
Evil Twin Nomader Weisse;Evil Twin Brewing;Wheat / Wit / White Beer;0.36;4.0;United States;2.93;Berliner-style wheat beer from the much-adored Evil Twin Brewing, made at Westbrook Brewing Co. in South Carolina.
Flying Dog Jalapeño White Ale;Flying Dog Brewery;Wheat / Wit / White Beer;0.36;5.5;United States;2.54;From Maryland's Flying Dog comes a Belgian-style wheat beer brewed with Jalapeño peppers. Spicy though creamy - a delicious juxtaposition.
Gigantic Holy Oak;Gigantic Brewing Company;Sour / Lambic Beer;0.65;7.7;United States;9.1;A hugely flavoursome collaborative beer made by Gigantic Brewing Co. and the chaps from Magic Rock.
Gigantic Pipewrench IPA;Gigantic Brewing Company;IPA (India Pale Ale) Beer;0.65;8.0;United States;10.19;There's three awesome things about this beer from Gigantic. Firstly, it's an IPA that's aged in Ransom Old Tom barrels. Secondly, they've named it Pipewrench. Pipewrench is a great name.
Gigantic Scrilla;Gigantic Brewing Company;Pale Ale Beer;0.65;5.5;United States;6.23;While Gigantic Scrilla would make for a pretty fantastic album title, it's actually a rather smashing IPA from the Gigantic Brewing Co., made with Crystal, Citra and Simcoe hops.
Ayinger Frühlingsbier;Brauerei Ayinger;Lager / Pilsner Beer;0.5;5.5;Germany;3.0;A rather traditionally-styled and unfiltered German beer from the Ayinger brewery. Lovely retro label, too.
Hitachino Nest Dai Dai IPA;Kiuchi Brewery;IPA (India Pale Ale) Beer;0.33;6.2;Japan;3.85;Japanese IPA here from the Hitachino Nest range, which interestingly has been brewed with a type of wild mandarin to give it a kick of lip-smacking citrus.
Wild Beer Chronos;The Wild Beer Co;Sour / Lambic Beer;0.33;5.8;England;2.76;An interesting combination of styles here from The Wild Beer Co. - Chronos is a lager brewed in a large oak foudre with lager yeast and brettanomyces!
Wild Beer Redwood 2016;The Wild Beer Co;Fruit Beer;0.33;5.8;England;3.52;The 2016 edition of the Wild Beer Co.'s Redwood, which is made with berries foraged from the hedgerows around the Somerset-based brewery.
Signature Brew Studio Vienna Lager;Signature Brew;Lager / Pilsner Beer;0.33;5.2;England;2.28;The creamy though enjoyably punchy Studio Vienna Lager from Signature Brew, who are dedicated to getting their beers into the hands of gig-goers after having to put up with overpriced, bog-standard
Yeastie Boys Pot Kettle Black Can;Yeastie Boys;Porter Beer;0.33;6.0;New Zealand;3.3;We love the Yeastie Boys.
Yeastie Boys Bigmouth;Yeastie Boys;IPA (India Pale Ale) Beer;0.33;4.4;New Zealand;2.7;A full bodied and refreshing session IPA from the team at Yeastie Boys. Unusually for a New Zealand based brewery, this has been made in the UK, but is still chock full of aromatic Kiwi hops!
Weird Beard Opulence;Weird Beard Brew Company;Stout Beer;0.66;10.9;England;8.95;A limited edition Imperial Stout from Weird Beard in Hanwell, released to celebrate their 400th brew.
First Chop JAM;First Chop Brewing;Pale Ale Beer;0.33;4.0;England;2.5;First Chop JAM may sound like it doesn't really make sense, so let us assure you that it's a beautiful mango-infused pale ale, made by the folk at First Chop Brewing Arm in Manchester.
Cloudwater Mittelfrüh Tettnanger Helles;Cloudwater Brew Co.;Lager / Pilsner Beer;0.44;5.4;England;4.1;Mmmmm, tasty Cloudwater Mittelfrüh Tettnanger Helles. Try saying that one quickly.
BrewDog Dead Pony Club Can;BrewDog;IPA (India Pale Ale) Beer;0.33;3.8;Scotland;1.79;It's BrewDog's delicious Dead Pony Club... Now in a can! Simples!
Flying Dog Bloodline;Flying Dog Brewery;Pale Ale Beer;0.36;7.0;United States;3.35;A wonderful special edition ale from Flying Dog, brewed with the peel and juice of blood oranges to give a superb balance between citrus sweetness and pale ale bitterness.
Flying Dog Numero Uno;Flying Dog Brewery;Lager / Pilsner Beer;0.36;4.9;United States;2.49;Flying Dog's tribute to Mexico is one of the best seasonal ales we've come across - what could be better then agave infused beer?!
Erdinger Dunkel;Erdinger;Wheat / Wit / White Beer;0.5;5.3;Germany;2.76;This dark wheat beer was first created by Erdinger's master brewers as a birthday present for the owner in 1989. As ways to kiss up to the boss go, that's pretty awesome.
Erdinger Kristall;Erdinger;Wheat / Wit / White Beer;0.5;5.3;Germany;2.76;Intensely filtered wheat beer from Bavarian specialists Erdinger, with extra sparkling and carbonic acid for a wonderfully refreshing, crystal clear wheat beer.
Erdinger Pikantus;Erdinger;Wheat / Wit / White Beer;0.5;7.3;Germany;3.42;The strongest expression of Erdinger's offering, this dark wheat beer is bottled at a generous 7.3%, and makes for a classic Bavarian aperitif.
Erdinger Urweisse;Erdinger;Wheat / Wit / White Beer;0.5;4.9;Germany;2.69;Dating back to the founding days of the Erdinger brewery in 1886, Urweisse is a classic Bavarian wheat beer - top fermented and generously hopped for a full bodied, distinctive style.
Erdinger Weiss;Erdinger;Wheat / Wit / White Beer;0.5;5.3;Germany;2.76;An all time classic wheat beer - one that's enjoyed by beer lovers all over the world. A top fermented beer matured in the bottle (as they do for Champagne), this is a Bavarian speciality.
Flensburger Gold;Flensburger;Lager / Pilsner Beer;0.33;4.8;Germany;2.1;Flensburger is the world's biggest user of flip top bottles (every day is a school day, as they say), and they use them to house the tasty beer that comes from Germany's most northerly brewery.
Flensburger Pilsener;Flensburger;Lager / Pilsner Beer;0.33;4.8;Germany;2.03;Traditionally packaged north German Pilsener from Flensburger, one of the few remaining independent breweries in Germany. We reckon this'll be perfect for sunny afternoons in the garden.
Früh Kölsch Can;Fruh;Alt, Kolsch Beer;0.5;4.8;Germany;2.9;Kölsch is a term used to describe beers brewed in and around the city of Cologne, and Früh are perhaps the greatest exponents of this pilsner-esque style.
Helles Schlenkerla Lagerbíer;Brauerei Heller Bamberg;Lager / Pilsner Beer;0.5;4.3;Germany;2.57;Classic Helles lager from the folk at Brauerei Heller Bamberg, fermented with the same yeast which is used to produce their legendary smoked beer.
Adnams Southwold Bitter Can;Adnams;Bitter Beer;0.5;4.1;England;1.68;Long summer evenings, cricket on the village green, bitter beer... Enduring image, isn't it? Marvellous.
Adnams Ghost Ship Can;Adnams;Pale Ale Beer;0.44;4.5;England;2.0;Scarily good (see what we did there?) pale ale from the chaps at Adnams, who have been making beer in Southwold since the Cenozoic era. Or at least, quite a long time.
Adnams Jack Brand Crystal Rye IPA;Adnams;IPA (India Pale Ale) Beer;0.33;5.0;England;1.54;We've no idea who Jack Brand is, but he and Adnams certainly seem to be making some smashing beers together.
Adnams Jack Brand Dry Hopped Lager Can;Adnams;Lager / Pilsner Beer;0.33;4.2;England;1.5;The first lager that Adnams have made since they set up in Southwold in 1872. Frankly, we're not sure what took them so long, but this dry hopped expression is certainly worth the wait!
Adnams Southwold Explorer;Adnams;Blonde Beer;0.5;5.0;England;2.48;Established in 1872, Adnams are synonymous with their home of Southwold, but thankfully their beers are now available well beyond their home in Suffolk.
Adnams Tally-Ho 2016;Adnams;Cask-Aged Beer;0.33;7.2;England;2.42;A yearly treat from Southwold's Adnams, their Tally-Ho is a rich cask-aged dark ale which has been brewed yearly since 1880! This is the 2016 vintage.
Adnams Jack Brand Earl Grey Lager;Adnams;Lager / Pilsner Beer;0.33;5.0;England;2.08;An interesting English lager from Adnams in Southwold, released as part of the Jack Brand range. Using Earl Grey tea in brewing is uncommon, but it has happened before - though mainly with IPA beers.
Bitburger Pils;Bitburger;Lager / Pilsner Beer;0.33;4.8;Germany;1.82;Bitburger is a brewery steeped in history, founded in 1817 and still family owned, they were the first to produce a Pilsener style beer outside of its traditional home of Bohemia, and have gone on to
Pressure Drop Cast Iron Billy ;Pressure Drop Brewing;Stout Beer;0.33;10.5;England;4.42;Cast Iron Billy is an imperial brown stout based on an 1832 recipe from Barclay Perkins Brewery, designed to hearken back to Victorian London, in the midst of the Industrial Revolution. At 10.
Buxton Brewery Ice Cream Pale Ale;Buxton Brewery;Pale Ale Beer;0.33;5.6;England;5.95;A combination of two amazing things - beer and ice cream!
Roosters Pilsnear;Roosters;Pale Ale Beer;0.33;4.8;England;2.75;A seasonal special from Roosters Brewery in North Yorkshire, this is a cross between a pilsner and pale ale, made with German and Czech hops and Pilsner and Munich malts, but with a touch more fruit
