drzava;opis;regija;barva;cena;stopnja_alkohola;ime;vrsta;slika;vonj;velikost;okus
Italy;"Cepparello is one of Italy's most iconic wines and a reflection of Paolo De Marchi's career.  1980 was the first vintage produced, but it started in the vineyard in the early 70's.  The common misunderstanding that Sangiovese needed to be blended with Bordeaux varieties to be great puzzled Paolo, he said ""The problem isn't with Sangiovese; it's with us, we don't know how to farm it.""  From there he started a 20 year journey of clonal selection and viniculture that ended with what today is considered the baseline for producing great Sangiovese in the Chianti Classico region.  Today Cepparello, named after a small seasonal stream among the vineyards, is a selection of the estates best fruit.  Soils primarily Galestro, vineyards orientated Southwest and are 400 meters above sea-level."" -Importer<BR><BR>""Proprietor Paolo De Marchi has left an indelible and highly personal stamp on Isole e Olena and all of Chianti Classico, for that matter. Originally of Piedmontese descent, De Marchi stands apart from many of his colleagues for his vocal opinions and intense dedication to the vineyard above all else. Since taking over his family's estate in the late 1970s, De Marchi has transformed Isole e Olena into a powerhouse. <BR><BR>The flagship Cepparello is 100% Sangiovese aged in French oak barrels. This nearly complete vertical charts the history of one of Tuscany's most compelling wines. The first Cepparellos were vinified in cement. The cellar was heated to induce malolactic fermentation and the wines were subsequently aged roughly equal parts Slavonian oak casks and smaller French oak barriques, with a dollop of chestnut barrels thrown into the mix. It was a time of enormous sacrifice, given that green harvesting was viewed as throwing money out the window, and every purchase of new French oak barrels was accompanied by a stern reprimand from De Marchi's father to pay attention to costs. But De Marchi persevered. The fruits of his hard labor and pricing are amply captured in these magnificent wines."" -Antonio Galloni";Tuscany;Red;349.99;13.5;2015 Isole E Olena Cepparello Double Magnum;Sangiovese;https://dsi2vjvztwiuk.cloudfront.net/website/products/106499/front/756819/original.png;asparagus,   green pepper and   red fruit;3.0;red fruit,   strawberry and   raspberry
United States;Loaded with rich, jammy fruit, this plump Zin is a pleasure to drink, with bold accents of wild berry, spicy cinnamon and licorice that glide dynamically toward plush tannins. Drink now through 2025. 122,500 cases made.;California;Red;19.09;14.8;2016 Seghesio Sonoma Zinfandel;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/106502/bottle/757004/original.png;candy,   vanilla,   oak,   smoke,   tar,   musk,   mushroom,   spice,   currant,   blackberry,   boysenberry,   blueberry,   jam,   spice box,   cedar,   dark fruit,   violet and   rose petal;0.75;jam,   blueberry,   black pepper,   cherry,   plum,   boysenberry,   cranberry,   licorice,   dark berry fruit,   high tannin,   currant,   blackberry,   strawberry,   raspberry and   anise
Lebanon;"100% Cinsault from 50 year old vines grown in dry-farmed, high elevation vineyards, 1,050 meters (3,445 feet) above sea level. The soil is clay, with a clay and limestone subsoil. The grapes are hand-harvested in small boxes. Fermented in concrete vats with indigenous yeasts, then aged in old oak barrels for 8 months. Minimum amount of sulfur is added at bottling. A profound nose with broad, dusty fruit overlaid by dried-spice flavors. Earthy but clean, persistent finish. An elegant red to serve with hearty dishes. 13.5% alcohol."" -- Importer";Lebanon;Red;16.98;13.5;2016 Domaine Des Tourelles Cinsault Vieilles Vignes;Cinsault;https://dsi2vjvztwiuk.cloudfront.net/website/products/106508/bottle/756935/original.png;game,   smoke,   toast,   tar,   dust and   dark fruit;0.75;strawberry,   vanilla and   musk
New Zealand;Tora Bay Sauvignon Blanc is produced from a single vineyard site of 33 hectares purchased in Martinborough in 2000. It is a special site lying beautifully to the all day sun and is slightly elevated.;North Island;White;12.99;12.4;2017 Tora Bay Sauvignon Blanc;Sauvignon Blanc;https://dsi2vjvztwiuk.cloudfront.net/website/products/106516/bottle/756943/original.png;apple,   pear,   kiwi,   citrus,   stone,   grapefruit and   melon;0.75;grass,   gooseberry,   grapefruit,   lime,   melon,   citrus,   mineral and   flint
United States;"This wine appears light straw in the glass with aromas of toasted brioche, baking spices, and candied lemon rind. On the palate, the Carneros Chardonnay is full-bodied and creamy yet balanced by its lively acidity; with nuanced flavors of yellow apple, lemon curd, baked pear, melon, and subtle hints of oak toast. ";California Napa;White;29.99;;2016 Frank Family Chardonnay;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/106517/bottle/756980/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
Argentina;"Deep red color with violet hues. A well-structured wine with complex aromas of plum jam, green pepper, raisins, tobacco and a delicate touch of oak. Balanced and very persistent in the mouth with soft and ripe tannins."" - Winery";Mendoza;Red;15.99;14.5;2013 Trapiche Medalla Cabernet Sauvignon;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/106544/bottle/756936/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
Germany;"GUARANTEED PORCH & PATIO POUNDER!""Dragonstone....gone bubbly! All the character and quality we know and love undergoes secondary fermentation—the outcome of which is light, bright and just plain tasty. Finished at 20 grams/liter, this is an exciting addition to the Leitz portfolio."" -- Importer";Rheingau;White;24.99;11.5;2016 Leitz Dragonstone Riesling Sekt;Riesling;https://dsi2vjvztwiuk.cloudfront.net/website/products/106571/bottle/757206/original.png;petrol,   flint,   rose petal,   violet,   orange peel,   apple,   pear and   peach;0.75;apple,   pear,   peach,   apricot and   honey
Germany;"The Bremmer Calmont is the steepest vineyard in the world and the soil is oxidized red Devonian slate with veins of quartzite. This was fermented in stainless steel and like all Franzen dry wines, it underwent malolactic. Cayenne, apple and red peach mark this spicy, compelling riesling."" -- Importer";Mosel;White;24.99;12.0;2015 Franzen Riesling Trocken Bremmer Calmont;Riesling;https://dsi2vjvztwiuk.cloudfront.net/website/products/106572/bottle/757237/original.png;petrol,   flint,   rose petal,   violet,   orange peel,   apple,   pear and   peach;0.75;apple,   pear,   peach,   apricot and   honey
Germany;“This offers a gorgeous nose of apricot, herbs, yellow peach, baked pineapple and spices. The wine is rather ripe and rich on the palate and develops an intense and slightly broad feel in the creamy and vibrant finish.”;Mosel;White;27.98;8.5;2015 Dr Loosen Riesling Auslese Wehlener Sonnenuhr Half Bottle;Riesling;https://dsi2vjvztwiuk.cloudfront.net/website/products/106580/front/757301/original.png;petrol,   flint,   rose petal,   violet,   orange peel,   apple,   pear and   peach;0.375;apple,   pear,   peach,   apricot and   honey
France;This grown-up rose is skillfully crafted by Sasha Lichine from Chateau Prieure Lichine in Margaux. Elegant and full of subtle charm and juicy red fruit, nestled cosily amongst some beautiful spice and dried herb notes. Quickly becoming a cult wine, get it while you can.;Provence;Rose;11.99;13.0;2017 Chateau Esclans Cotes De Provence Whispering Angel Half Bottle;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/106583/bottle/757108/original.png;vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   game,   tar,   dust,   floral note,   mineral,   apricot,   peach,   acacia,   spice box,   cedar,   garrigue,    cherry,    raspberry and    earthiness;0.375;black currant,   blackberry,   dust,   leather,   strawberry,   vanilla,   musk,   green apple,   lime,   citrus,   pear,   acid,   currant,   blueberry,   garrigue,    cherry,    raspberry and    earthiness
Germany;Auslese [OWS-lay-zuh] means “selected from the harvest,” and is a luscious, limitedproduction sweet wine made from very ripe clusters that are about 50 percent affected by botrytis. The botrytis mold, (aka “Noble Rot”) draws moisture from the grapes, dehydrating them and concentrating the juice. The resulting wine is dense, intensely flavored and rich on the palate, but even at the Auslese level, the Wehlener Sonnenuhr vineyard retains the elegant structure that is characteristic of this great site.;Mosel;White;27.98;8.5;2016 Dr Loosen Riesling Auslese Wehlener Sonnenuhr Half Bottle;Riesling;https://dsi2vjvztwiuk.cloudfront.net/website/products/106584/bottle/757118/original.png;petrol,   flint,   rose petal,   violet,   orange peel,   apple,   pear and   peach;0.375;apple,   pear,   peach,   apricot and   honey
United States;The 2015 Foothills Reserve is 100% Syrah from the estate vineyard located around the winery. It’s one of the more tight and reserved in the lineup, yet has tons of potential. Ripe red and black fruits, spice, smoked game, tapenade, and peppery notes all emerge from this full-bodied, rich, concentrated Syrah that has sweet tannin and moderate acidity. Give it a year or two and enjoy over the following decade.;Washington;Red;69.89;14.5;2015 Reynvaan Foothills Reserve Walla Walla Valley;Syrah / Shiraz;https://dsi2vjvztwiuk.cloudfront.net/website/products/106598/front/756986/original.png;spice box,   cedar and   dark fruit;0.75;currant,   blueberry,   blackberry and   strawberry
United States;The 2015 In The Hills is 95% Syrah and 5% Viognier (all cofermented) and it’s one of the larger production releases, with 600 cases made. Deep ruby/plum colored with notes of blackcurrants, scorched earth, tobacco, and pepper, this beauty hits the palate with medium to full-bodied richness, plenty of amplitude and depth, and a big finish that makes you salivate. It’s a complex, ripe, sexy wine from this estate to drink over the coming decade.;Washington;Red;69.89;14.5;2015 Reynvaan In The Hills Walla Walla Valley;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/106599/front/756987/original.png;spice box,   cedar,   dark fruit,   orange blossom,   acacia,   violet,   anise and   mint;0.75;currant,   blueberry,   blackberry,   strawberry,   honey,   orange,   mango,   kiwi and   tangerine
France;Beautifully balanced, with amazing ripeness, freshness and minerality, boasting a lush mouth feel and texture, as well as a bright, crunchy acidity.;Burgundy;White;22.98;13.0;2016 Garnier Chablis;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/106600/bottle/757134/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
United States;"HdV is a venture between the Hyde Family of Napa Valley and the de Villaine Family of Burgundy. The families, related by marriage, share long histories in French and Californian winemaking. In HdV, we have brought together our knowledge and experience for the purpose of creating single vineyard wines from the slopes of Hyde Vineyards.<BR><BR>The drought cycle that started in 2012 continued in 2015, as a result, we experienced a warm dry winter and an early start of the vegetative cycle with bud break in February. In May, unseasonably cool weather caused a poor pollination, resulting in concentrated fruit due to millerandage; small, seedless berries amid a few normal berries, creating the intensity and complexity juice. The summer was hot overall at Hyde Vineyard. Thanks to a few cool days in early August, the growing season was extended, allowing the grapes to reach great maturity."" -Winery<BR><BR>""Fresh floral and citrus notes are abundant in the complex aromatics of this wine. Citrus,pear and apricot accompanied by a wonderfully balanced acidity and freshness that suggestslong agebility. Mineral depth and a rich mouthfeel speak toward the old world style ofthis mouth-watering Chardonnay. Elegant and restrained, like a queen on her throne, it ispoised, firm and elegant on the palate, with a long lasting finish, sure to entice the sensesand keep one returning for more!"" -Stéphane Vivier, Winemaker";California Napa;White;69.95;13.8;2015 Hyde De Villaine Hdv Chardonnay Hyde Vineyard Carneros;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/106602/bottle/756995/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
France;The 2015 Vosne-Romanée Village comes from les Communes and a small parcel in Aux Ormes. The fruit here is darker than the other crus, perhaps demonstrating a little more skin maceration, though it maintains satisfying delineation and focus. The palate is medium-bodied with sappy black fruit tinged with sea salt. Nicely balanced and delicious to drink.;Burgundy;Red;69.95;13.0;2015 Michel Noellat Vosne Romanee;Pinot Noir;https://dsi2vjvztwiuk.cloudfront.net/website/products/106605/bottle/757128/original.png;barnyard,   cherry,   plum,   game and   tomato;0.75;ripe cherry,   plum,   strawberry,   raspberry and   mushroom
United States;So floral and gorgeous with lemon, honeysuckle and mineral aromas. Full body, bright acidity, balanced, agile and a light oily and layered undertone. Some bread dough too. Small amount of malolactic fermentation gives it mouthfeel but bright acidity stays. From the owner of Screaming Eagle and Jonata. A joy to drink.;California;White;39.99;13.4;2014 The Hilt Chardonnay Estate Santa Barbara;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/106606/bottle/757029/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
France;"This premier cru sits just south of Chenevottes and edges towards the center of the village. The Pillot parcel (0.28 hectare) was planted in 1951 with a portion replanted in 1988. The Macherelles is often the most generous and straight-forward of the 1er Crus in white.<BR><BR>Jean-Marc Pillot is the fourth generation of his branch of the Pillot family to tend vineyards in Chassagne Montrachet. He joined his father, Jean, in 1985 to learn the craft of “vigneron”. After six years of working side-by-side, Jean-Marc assumed the direction of the domaine in 1991 with the assistance of his wife, Nadine, and his sister, Beatrice. Of course, his father, Jean, remains by his side rendering advice and valuable assistance in the vineyards (often while he is tending the garden in back of the chai!). Jean-Marc has instituted several changes at the estate, the most prominent of which is the construction of a new cave. Of equal importance, Jean-Marc expanded the amount of vineyards under cultivation and has made subtle modifications in vinification and elevage to place his own “mark” on this estate which now covers approximately fifteen hectares with an annual production of, more or less, 60,000 bottles.<BR><BR>The domaine is dominated by its production of white wines but there are important cuvées of red wine produced here as well. Vineyard holdings are spread throughout the village of Chassagne with subsidiary parcels in Puligny, Santenay, Meursault and Remigny (to the south). This breadth of real estate enables the Pillot family to produce a stunning range of wines that put on brilliant display the intricacies of terroir in this southern tier of the Cote de Beaune. The estate’s jewels are its premier crus blancs (Baudines, Chenevottes, Macherelles, Vergers, Morgeot, Caillerets, La Maltroie and Champs Gain) and premier cru rouges (Macherelles, Morgeot, Clos St.Jean), all within the boundaries of Chassagne Montrachet. However, one should not overlook several gems that come from less exalted appellations, such as the Bourgogne Blanc “Grands Champs”, the Bourgogne Rouge “Grandes Terres”, and the expressive Santenay Rouge “Champs Claude”; and, of course, there are the fine village wines in both white and red from Chassagne. Jean-Marc also accesses grapes in very limited quantities from interesting appellations like his Montagny 1er Cru “Les Gouresses” and Saint Romain Blanc “La Perriere”.The vines in most parcels are between 25 and 50 years old; in certain instances the vines are considerably older, reaching the 100 year mark in Clos Saint Jean and Clos Saint Marc (within the cru of Vergers). Traditional viticultural practices are used in the vineyards. Both Cordon de Royat and Guyot Simple pruning and training systems are employed. The spring and summer months are the time for intensive work in the vineyards to control the size and quality of the harvest, the work including de-budding, leaf-control and, when necessary, the vendange en vert. The vineyards are plowed, no herbicides are used and planting is at high density (10,000 vines per hectare on the village level; 12,000 vines per hectare on the 1er Cru level).Harvest is manual. The white wines are almost all fermented and aged in barrel with a regimen of 10% to 30% new oak (the degree depending on the structure and importance of the wine). The wines are aged on the fine lees for twelve months and then are racked out of barrel into stainless steel tanks to clarify and settle naturally for an additional six months. The extra aging avoids the necessity to cold stabilize the wine. The red wines are destemmed entirely; the grapes undergo a brief cold maceration (up to five days) and then the alcoholic fermentation covers 10 to 12 days with both remontage and pigeage being practiced daily during that period. The reds are racked into barrel where the malolactic fermentation occurs; the wines are left in contact with the fine lees for twelve months; then, the wines are racked from barrel into stainless steel for an additional six months of aging before being bottled without filtration."" -Importer";Burgundy;White;64.95;13.5;2015 Jean Pillot Macherelles Chassagne Montrachet 1er Cru;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/106612/bottle/757158/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
France;"100 cases imported to the U.S.  Sourced from a half-hectare parcel planted in 1949, the Vergers is in the northern tier of Chassagne on a substantial slope which lends this wine a considerable degree of finesse. It is rather open in its youth, more floral than its companion wines and one of the most consistently satisfying wines of the domaine.<BR><BR>Jean-Marc Pillot is the fourth generation of his branch of the Pillot family to tend vineyards in Chassagne Montrachet. He joined his father, Jean, in 1985 to learn the craft of “vigneron”. After six years of working side-by-side, Jean-Marc assumed the direction of the domaine in 1991 with the assistance of his wife, Nadine, and his sister, Beatrice. Of course, his father, Jean, remains by his side rendering advice and valuable assistance in the vineyards (often while he is tending the garden in back of the chai!). Jean-Marc has instituted several changes at the estate, the most prominent of which is the construction of a new cave. Of equal importance, Jean-Marc expanded the amount of vineyards under cultivation and has made subtle modifications in vinification and elevage to place his own “mark” on this estate which now covers approximately fifteen hectares with an annual production of, more or less, 60,000 bottles.<BR><BR>The domaine is dominated by its production of white wines but there are important cuvées of red wine produced here as well. Vineyard holdings are spread throughout the village of Chassagne with subsidiary parcels in Puligny, Santenay, Meursault and Remigny (to the south). This breadth of real estate enables the Pillot family to produce a stunning range of wines that put on brilliant display the intricacies of terroir in this southern tier of the Cote de Beaune. The estate’s jewels are its premier crus blancs (Baudines, Chenevottes, Macherelles, Vergers, Morgeot, Caillerets, La Maltroie and Champs Gain) and premier cru rouges (Macherelles, Morgeot, Clos St.Jean), all within the boundaries of Chassagne Montrachet. However, one should not overlook several gems that come from less exalted appellations, such as the Bourgogne Blanc “Grands Champs”, the Bourgogne Rouge “Grandes Terres”, and the expressive Santenay Rouge “Champs Claude”; and, of course, there are the fine village wines in both white and red from Chassagne. Jean-Marc also accesses grapes in very limited quantities from interesting appellations like his Montagny 1er Cru “Les Gouresses” and Saint Romain Blanc “La Perriere”.The vines in most parcels are between 25 and 50 years old; in certain instances the vines are considerably older, reaching the 100 year mark in Clos Saint Jean and Clos Saint Marc (within the cru of Vergers). Traditional viticultural practices are used in the vineyards. Both Cordon de Royat and Guyot Simple pruning and training systems are employed. The spring and summer months are the time for intensive work in the vineyards to control the size and quality of the harvest, the work including de-budding, leaf-control and, when necessary, the vendange en vert. The vineyards are plowed, no herbicides are used and planting is at high density (10,000 vines per hectare on the village level; 12,000 vines per hectare on the 1er Cru level).Harvest is manual. The white wines are almost all fermented and aged in barrel with a regimen of 10% to 30% new oak (the degree depending on the structure and importance of the wine). The wines are aged on the fine lees for twelve months and then are racked out of barrel into stainless steel tanks to clarify and settle naturally for an additional six months. The extra aging avoids the necessity to cold stabilize the wine. The red wines are destemmed entirely; the grapes undergo a brief cold maceration (up to five days) and then the alcoholic fermentation covers 10 to 12 days with both remontage and pigeage being practiced daily during that period. The reds are racked into barrel where the malolactic fermentation occurs; the wines are left in contact with the fine lees for twelve months; then, the wines are racked from barrel into stainless steel for an additional six months of aging before being bottled without filtration."" -Importer";Burgundy;White;68.95;13.5;2015 Jean Pillot Vergers Chassagne Montrachet 1er Cru;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/106613/bottle/757160/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
France;"The Morgeot is known for its broad-shouldered wines, often the most rich and unctuous of the crus of Chassagne. In this case, Pillot’s vines are located within the most renowned sector of Morgeot known as “Les Fairendes”. This quarter-hectare parcel planted in 1970 benefits from that most favorable of positions to produce a wine that, while large-scaled, has a finesse and presence that elevates it above its more rustic colleagues.<BR><BR>Jean-Marc Pillot is the fourth generation of his branch of the Pillot family to tend vineyards in Chassagne Montrachet. He joined his father, Jean, in 1985 to learn the craft of “vigneron”. After six years of working side-by-side, Jean-Marc assumed the direction of the domaine in 1991 with the assistance of his wife, Nadine, and his sister, Beatrice. Of course, his father, Jean, remains by his side rendering advice and valuable assistance in the vineyards (often while he is tending the garden in back of the chai!). Jean-Marc has instituted several changes at the estate, the most prominent of which is the construction of a new cave. Of equal importance, Jean-Marc expanded the amount of vineyards under cultivation and has made subtle modifications in vinification and elevage to place his own “mark” on this estate which now covers approximately fifteen hectares with an annual production of, more or less, 60,000 bottles.<BR><BR>The domaine is dominated by its production of white wines but there are important cuvées of red wine produced here as well. Vineyard holdings are spread throughout the village of Chassagne with subsidiary parcels in Puligny, Santenay, Meursault and Remigny (to the south). This breadth of real estate enables the Pillot family to produce a stunning range of wines that put on brilliant display the intricacies of terroir in this southern tier of the Cote de Beaune. The estate’s jewels are its premier crus blancs (Baudines, Chenevottes, Macherelles, Vergers, Morgeot, Caillerets, La Maltroie and Champs Gain) and premier cru rouges (Macherelles, Morgeot, Clos St.Jean), all within the boundaries of Chassagne Montrachet. However, one should not overlook several gems that come from less exalted appellations, such as the Bourgogne Blanc “Grands Champs”, the Bourgogne Rouge “Grandes Terres”, and the expressive Santenay Rouge “Champs Claude”; and, of course, there are the fine village wines in both white and red from Chassagne. Jean-Marc also accesses grapes in very limited quantities from interesting appellations like his Montagny 1er Cru “Les Gouresses” and Saint Romain Blanc “La Perriere”.The vines in most parcels are between 25 and 50 years old; in certain instances the vines are considerably older, reaching the 100 year mark in Clos Saint Jean and Clos Saint Marc (within the cru of Vergers). Traditional viticultural practices are used in the vineyards. Both Cordon de Royat and Guyot Simple pruning and training systems are employed. The spring and summer months are the time for intensive work in the vineyards to control the size and quality of the harvest, the work including de-budding, leaf-control and, when necessary, the vendange en vert. The vineyards are plowed, no herbicides are used and planting is at high density (10,000 vines per hectare on the village level; 12,000 vines per hectare on the 1er Cru level).Harvest is manual. The white wines are almost all fermented and aged in barrel with a regimen of 10% to 30% new oak (the degree depending on the structure and importance of the wine). The wines are aged on the fine lees for twelve months and then are racked out of barrel into stainless steel tanks to clarify and settle naturally for an additional six months. The extra aging avoids the necessity to cold stabilize the wine. The red wines are destemmed entirely; the grapes undergo a brief cold maceration (up to five days) and then the alcoholic fermentation covers 10 to 12 days with both remontage and pigeage being practiced daily during that period. The reds are racked into barrel where the malolactic fermentation occurs; the wines are left in contact with the fine lees for twelve months; then, the wines are racked from barrel into stainless steel for an additional six months of aging before being bottled without filtration."" -Importer";Burgundy;White;68.95;13.5;2015 Jean Pillot Morgeot Chassagne Montrachet Les Fairendes 1er Cru;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/106614/bottle/757159/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
United States;"Di Costanzo Wines was founded with the 2010 vintage by owner and winemaker Massimo Di Costanzo. Massimo grew up in an Italian household in Berkeley, California – where wine, food and conversation were blended together during meals. When Massimo went to college (U.C. Davis) he did not initially enroll with the idea of becoming a winemaker. Rather he was interested in economics and business – but after enrolling in an introductory course to wine making and earning a very high grade in this class his interest was, as he says, ‘piqued by the process’ and he switched career paths ultimately graduating with a degree in wine making.<BR><BR>Post college wine making work took him oversees to a number of wine regions including to Italy, South Africa and Mendoza, Argentina. He learned how quality wines were made around the world and this experience gave him an international perspective on wine making. But ultimately he chose Napa as the region where he wanted to establish his own career. He had been drawn to well established producers making wines with restraint and finesse – including vintners such as Cathy Corison and Ric Foreman.<BR><BR>His first job in the Napa Valley was working at Provenance with winemaker Tom Rinaldi. In 2005 he met accomplished winemaker Andy Erickson and worked at what was a new winery at the time, Ovid on Pritchard Hill. Massimo then spent 2.5 years working with Andy as his assistant winemaker at Screaming Eagle (during what were exciting times at that vineyard with a winery redesign and a vintage that earned a remarkable score of 100 points from wine critic, Robert Parker).<BR><BR>He then left Screaming Eagle to work with winemaker Philippe Melka. But for many years his dream had been to establish his own brand. In 2008 and 2009 he purchased fruit from up valley (Oakville and St. Helena), made his own wine but did not release it commercially.<BR><BR>While looking for a winery to make his wine at, he was introduced to vintner Tom Farella. Massimo had already been familiar with Tom’s wines prior, and he recalls how well they tended to age. Looking to work with a cooler climate Napa Vineyard, Tom’s vineyard in the soon to be designated Coombsville appellation at the time seemed like a perfect fit. And timing was right – after the economic downturn of 2008 all of the sudden vineyards who were selling fruit to others had a surplus of grapes.<BR><BR>In 2010 Massimo was able to choose select blocks in the Farella Vineyard and has continued sourcing fruit from these same blocks. His first Farella Vineyard designate was merely 100 cases – today production has grown to typically between 300 to 400 cases a year. In 2016 Massimo expanded his vineyard portfolio to include the Rafael Vineyard in the western part of the Oak Knoll District.<BR><BR>The Farella Vineyard is one of Coombsville’s older vineyards – and contains the oldest Cabernet Sauvignon vines in the appellation. Massimo says “this vineyard makes the wines” – as a result he doesn’t have to do much manipulation once the grapes come into the winery. He picks at a reasonable brix – his wines from this vineyard have all natural acidity (no acidulation needed), he does not fine or filter and uses a minimum of SO2. The wine typically is aged in 50% new French Oak for 22 months and then receives another 6 months in bottle before being released.<BR><BR>The 2015, recently bottled at the time of our tasting is 100% varietal Cabernet Sauvignon. A warmer vintage with lower yields – this wine is remarkably very approachable in its youth. Shows dark fruit with a ruby purple color in the glass. The bouquet is well layered and continues to reveal a diversity of aromas as it opens. It shows attractive aromatics including sweet blackberry and plum notes along with a dry dust nuance, a kiss of mocha and a perceptible note of tobacco. Reveals both ripe aromatics yet is elegant at the same time. Tom Farella says his vineyard produces “an abundance of fine-grained tannins – and this wine certainly shows this structure on the finish. Somewhat dusty in character the tannins are already fairly well integrated."" -Winery";California;Red;94.99;14.0;2015 Di Costanzo Cabernet Sauvignon Farella Vineyard Coombsville;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/106616/front/757019/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
Italy;A wonderfully floral Chianti Classico with jasmine and elderberry flowers not to mention smoke, plums and light chocolate. Medium to light body, soft tannins and fresh acidity. Drink now.;Tuscany;Red;29.99;14.5;2015 Castello Dei Rampolla Chianti Classico;Sangiovese;https://dsi2vjvztwiuk.cloudfront.net/website/products/106621/bottle/757173/original.png;asparagus,   green pepper and   red fruit;0.75;red fruit,   strawberry and   raspberry
France;"Pink salmon colour, brilliant wine. Crisp and delicate nose with a good fruit , floral and citrus notes (pink grapefruit). Well balanced taste with a good crispness. Good presence with fat and matter. Fruity aromas with strawberry and blackcurrant notes.  Crisp finish with lemon notes. A light aromatic rosé, refreshing and well balanced."" - Winery";Provence;Rose;12.98;13.0;2017 Les Quatre Tours Rose Aix En Provence;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/106627/bottle/757125/original.png;vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   spice box,   cedar,   game,   tar,   dust,   currant,   blackberry,   cherry and   cigar box;0.75;black currant,   blackberry,   dust,   leather,   currant,   blueberry,   strawberry,   vanilla,   musk,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger and   oak
United States;"The bouquet is a deep, well-integrated symphony of notes – licorice, black cherry with vanilla custard, a hint of briar, hay, and redwood bark. The flavors are bold, and comforting nips of raspberry, cherry, and dark plum yield to spicy cranberry on the mid-palate. The texture is built of silky tannins akin to the lush feel of high thread count sheets on skin, and the finish lingers and lingers."" - Winery";California;Red;55.97;14.4;2012 Talisman Adastra Vineyard Pinot Noir;Pinot Noir;https://dsi2vjvztwiuk.cloudfront.net/website/products/106628/bottle/757121/original.png;barnyard,   cherry,   plum,   game and   tomato;0.75;ripe cherry,   plum,   strawberry,   raspberry and   mushroom
United States;"Our 2012 Gunsalus pinot is a bright, vibrant, and beautifully integrated wine. The aroma is broad, dense, and slightly brooding, and woven with threads of sweet dark cherry, sarsaparilla, gingerbread, tobacco, dark spice, and red licorice. The palate is lively and the texture is thick, rich, silky and sexy; playing well with black cherry, cedar, and diced mixed dark berry flavors with a hint of cinnamon. This toothsome wine finishes with fine-grained tannins and a bit of black pepper on the finish. A fascinating and delicious wine."" - Winery";California;Red;49.99;14.6;2012 Talisman Gunsalus Vineyard Pinot Noir;Pinot Noir;https://dsi2vjvztwiuk.cloudfront.net/website/products/106629/bottle/757119/original.png;barnyard,   cherry,   plum,   game and   tomato;0.75;ripe cherry,   plum,   strawberry,   raspberry and   mushroom
